video_id,caption
xBePrplM4OA_6_18.avi,A woman goes under a horse.
IBgsLmDcL78_80_84.avi,A man slicing butter into a bowl.
WqQonRVs7WA_0_10.avi,A raccoon-like animal is hanging upside down from the back of a chair and eating something white.
F2Ny7rq9RKs_139_148.avi,A man is putting pepper into a bowl.
D1tTBncIsm8_841_848.avi,Someone is burning the tops of two cameras with a torch.
Z19zFlPah-o_6_11.avi,Clouds are quickly floating past a building.
drsPD5fI1IA_170_180.avi,A older Jewish man slowly speaking.
6t0BpjwYKco_71_76.avi,A woman peels an apple.
Hu9Sq1RvuoA_19_62.avi,A man is performing yoga.
hcCLIzzB1jQ_1_7.avi,A man in a suit is doing one-handed push-ups.
UXs3eq68ZjE_246_250.avi,Someone pours water into a kettle from a glass measuring cup.
Ce7equ9zCxk_4_19.avi,"A phone is off the hook, and a bird appears to be dialing it with it's beak."
IWhrWLOAin0_1_4.avi,A large dog gets something out of a refrigerator.
HVR7KpItLfA_62_70.avi,A man is erasing a chalk board.
r2oI9Y-3wAo_21_28.avi,Baby pandas are crawling on a bench.
E61HNXjgyqA_22_32.avi,A woman wearing a headset is singing into a large microphone.
_o1UXSxTjfo_68_80.avi,A man bags produce and talks to a group.
m1NR0uNNs5Y_192_198.avi,Someone is chopping up roundish white objects into small pieces with a large knife.
kJY5BRCNAs4_3_6.avi,a baby picks up a phone.
QqYWLR47eLI_10_18.avi,An animal is sitting on the wooden arm of a kitchen chair and eating something red.
W8l_ezoU8Lc_76_86.avi,A man is playing a flute in a band.
s80J2dAUUyI_33_43.avi,A man is doing algebraic equations on a white board.
-mAoVOhKy0c_4_9.avi,A yellow train is driving on an track on a bridge.
IhwPQL9dFYc_24_30.avi,A woman wraps tofu in a white cloth and turns folded side down in a metal pan.
nhm_APPwhWk_6_12.avi,A person falls off while riding a dirt bike.
jcIrD7rNvTM_10_21.avi,A three legged rottweiler walks outside.
cJOZp2ZftCw_1_12.avi,A bird is dancing on a chair.
0lh_UWF9ZP4_71_77.avi,A woman cracks two eggs into a glass bowl.
zv2RIbUsnSw_159_162.avi,A girl and a boy are sliding down a water slide.
yd8jh9QYfEs_4_10.avi,Two women get out of a taxi.
PqSZ89FqpiY_65_75.avi,a person preparing broccoli
Kxa0mnDj0bs_15_20.avi,A baby boy is playing with a cat.
cLNrpO6wBk4_37_47.avi,A man is playing the guitar.
nV3Wv8iHp4U_0_38.avi,A small dog plays on the couch.
kNHivduxQWg_0_14.avi,Two hamsters are eating.
ACK7SekJWts_140_150.avi,A man puts together a gun.
_QJbjKkfdcs_52_57.avi,A man is playing a violin and then a woman starts to sing.
2jXxtQRy47A_30_38.avi,The wolves and bear are chasing each other.
QTAqjSbMkXU_65_75.avi,A women preps a salmon meal.
PeUHy0A1GF0_28_32.avi,Someone is beating a clear liquid substance in a small glass bowl over a larger glass bowl of flour.
0lh_UWF9ZP4_183_190.avi,A woman slices a piece of meat into strips on a cutting board.
